flavor,w,l,nf,vg,vd,id
0,1e-07,3e-08,1,0.1,0.6909090909090909,7.147386e-06
0,1e-07,3e-08,1,0.1,0.7,7.356809e-06
0,1e-07,3e-08,1,0.1,0.7090909090909091,7.55457e-06
0,1e-07,3e-08,1,0.1,0.7181818181818181,7.799783e-06
0,1e-07,3e-08,1,0.1,0.7272727272727273,8.020462e-06
0,1e-07,3e-08,1,0.1,0.7363636363636363,8.278913e-06
0,1e-07,3e-08,1,0.1,0.7454545454545454,8.541635e-06
0,1e-07,3e-08,1,0.1,0.7545454545454545,8.791118e-06
0,1e-07,3e-08,1,0.1,0.7636363636363636,9.065676e-06
0,1e-07,3e-08,1,0.1,0.7727272727272727,9.365236e-06
0,1e-07,3e-08,1,0.1,0.7818181818181817,9.660511e-06
0,1e-07,3e-08,1,0.1,0.7909090909090909,9.988863e-06
0,1e-07,3e-08,1,0.1,0.7999999999999999,1.031166e-05
0,1e-07,3e-08,1,0.1,0.8090909090909091,1.06623e-05
0,1e-07,3e-08,1,0.1,0.8181818181818181,1.103853e-05
0,1e-07,3e-08,1,0.1,0.8272727272727273,1.142444e-05
0,1e-07,3e-08,1,0.1,0.8363636363636363,1.18174e-05
0,1e-07,3e-08,1,0.1,0.8454545454545455,1.228335e-05
0,1e-07,3e-08,1,0.1,0.8545454545454545,1.275917e-05
0,1e-07,3e-08,1,0.1,0.8636363636363636,1.326985e-05
0,1e-07,3e-08,1,0.1,0.8727272727272727,1.381509e-05
0,1e-07,3e-08,1,0.1,0.8818181818181817,1.445397e-05
0,1e-07,3e-08,1,0.1,0.8909090909090909,1.511999e-05
0,1e-07,3e-08,1,0.1,0.9,1.589877e-05
0,1e-07,3e-08,1,0.2,0.0,-7.753044e-07
0,1e-07,3e-08,1,0.2,0.00909090909090909,-2.709171e-07
0,1e-07,3e-08,1,0.2,0.01818181818181818,1.156709e-07
0,1e-07,3e-08,1,0.2,0.02727272727272727,4.141195e-07
0,1e-07,3e-08,1,0.2,0.03636363636363636,6.401187e-07
0,1e-07,3e-08,1,0.2,0.045454545454545456,8.213242e-07
0,1e-07,3e-08,1,0.2,0.05454545454545454,9.652143e-07
0,1e-07,3e-08,1,0.2,0.06363636363636363,1.088985e-06
0,1e-07,3e-08,1,0.2,0.07272727272727272,1.186535e-06
0,1e-07,3e-08,1,0.2,0.08181818181818182,1.271147e-06
0,1e-07,3e-08,1,0.2,0.09090909090909091,1.348406e-06
0,1e-07,3e-08,1,0.2,0.09999999999999999,1.416488e-06
0,1e-07,3e-08,1,0.2,0.10909090909090909,1.476162e-06
0,1e-07,3e-08,1,0.2,0.11818181818181818,1.535587e-06
0,1e-07,3e-08,1,0.2,0.12727272727272726,1.590123e-06
0,1e-07,3e-08,1,0.2,0.13636363636363635,1.647733e-06
0,1e-07,3e-08,1,0.2,0.14545454545454545,1.699429e-06
0,1e-07,3e-08,1,0.2,0.15454545454545454,1.748337e-06
0,1e-07,3e-08,1,0.2,0.16363636363636364,1.798832e-06
0,1e-07,3e-08,1,0.2,0.17272727272727273,1.854188e-06
0,1e-07,3e-08,1,0.2,0.18181818181818182,1.900252e-06
0,1e-07,3e-08,1,0.2,0.1909090909090909,1.946339e-06
0,1e-07,3e-08,1,0.2,0.19999999999999998,2.002318e-06
0,1e-07,3e-08,1,0.2,0.20909090909090908,2.047227e-06
0,1e-07,3e-08,1,0.2,0.21818181818181817,2.097323e-06
0,1e-07,3e-08,1,0.2,0.22727272727272727,2.147633e-06
0,1e-07,3e-08,1,0.2,0.23636363636363636,2.194126e-06
0,1e-07,3e-08,1,0.2,0.24545454545454545,2.24517e-06
0,1e-07,3e-08,1,0.2,0.2545454545454545,2.297052e-06
0,1e-07,3e-08,1,0.2,0.2636363636363636,2.353828e-06
0,1e-07,3e-08,1,0.2,0.2727272727272727,2.399325e-06
0,1e-07,3e-08,1,0.2,0.2818181818181818,2.454516e-06
0,1e-07,3e-08,1,0.2,0.2909090909090909,2.508753e-06
0,1e-07,3e-08,1,0.2,0.3,2.561773e-06
0,1e-07,3e-08,1,0.2,0.3090909090909091,2.617507e-06
0,1e-07,3e-08,1,0.2,0.3181818181818182,2.677167e-06
0,1e-07,3e-08,1,0.2,0.32727272727272727,2.721489e-06
0,1e-07,3e-08,1,0.2,0.33636363636363636,2.792993e-06
0,1e-07,3e-08,1,0.2,0.34545454545454546,2.848971e-06
0,1e-07,3e-08,1,0.2,0.35454545454545455,2.909295e-06
0,1e-07,3e-08,1,0.2,0.36363636363636365,2.973253e-06
0,1e-07,3e-08,1,0.2,0.3727272727272727,3.041509e-06
0,1e-07,3e-08,1,0.2,0.3818181818181818,3.098772e-06
0,1e-07,3e-08,1,0.2,0.3909090909090909,3.168525e-06
0,1e-07,3e-08,1,0.2,0.39999999999999997,3.234709e-06
0,1e-07,3e-08,1,0.2,0.40909090909090906,3.307753e-06
0,1e-07,3e-08,1,0.2,0.41818181818181815,3.390411e-06
0,1e-07,3e-08,1,0.2,0.42727272727272725,3.461848e-06
0,1e-07,3e-08,1,0.2,0.43636363636363634,3.535691e-06
0,1e-07,3e-08,1,0.2,0.44545454545454544,3.616753e-06
0,1e-07,3e-08,1,0.2,0.45454545454545453,3.695199e-06
0,1e-07,3e-08,1,0.2,0.4636363636363636,3.781011e-06
0,1e-07,3e-08,1,0.2,0.4727272727272727,3.865508e-06
0,1e-07,3e-08,1,0.2,0.4818181818181818,3.959937e-06
0,1e-07,3e-08,1,0.2,0.4909090909090909,4.04397e-06
0,1e-07,3e-08,1,0.2,0.5,4.147917e-06
0,1e-07,3e-08,1,0.2,0.509090909090909,4.244599e-06
0,1e-07,3e-08,1,0.2,0.5181818181818182,4.347542e-06
0,1e-07,3e-08,1,0.2,0.5272727272727272,4.451694e-06
0,1e-07,3e-08,1,0.2,0.5363636363636364,4.554722e-06
0,1e-07,3e-08,1,0.2,0.5454545454545454,4.68002e-06
0,1e-07,3e-08,1,0.2,0.5545454545454546,4.786941e-06
0,1e-07,3e-08,1,0.2,0.5636363636363636,4.908024e-06
0,1e-07,3e-08,1,0.2,0.5727272727272728,5.044174e-06
0,1e-07,3e-08,1,0.2,0.5818181818181818,5.171182e-06
0,1e-07,3e-08,1,0.2,0.5909090909090908,5.310971e-06
0,1e-07,3e-08,1,0.2,0.6,5.450588e-06
0,1e-07,3e-08,1,0.2,0.609090909090909,5.590716e-06
0,1e-07,3e-08,1,0.2,0.6181818181818182,5.737684e-06
0,1e-07,3e-08,1,0.2,0.6272727272727272,5.907442e-06
0,1e-07,3e-08,1,0.2,0.6363636363636364,6.07004e-06
0,1e-07,3e-08,1,0.2,0.6454545454545454,6.234363e-06
0,1e-07,3e-08,1,0.2,0.6545454545454545,6.41933e-06
0,1e-07,3e-08,1,0.2,0.6636363636363636,6.581526e-06
0,1e-07,3e-08,1,0.2,0.6727272727272727,6.759962e-06
0,1e-07,3e-08,1,0.2,0.6818181818181818,6.957826e-06
0,1e-07,3e-08,1,0.2,0.6909090909090909,7.164797e-06
0,1e-07,3e-08,1,0.2,0.7,7.371841e-06
0,1e-07,3e-08,1,0.2,0.7090909090909091,7.590297e-06
0,1e-07,3e-08,1,0.2,0.7181818181818181,7.809892e-06
0,1e-07,3e-08,1,0.2,0.7272727272727273,8.054182e-06
0,1e-07,3e-08,1,0.2,0.7363636363636363,8.283916e-06
0,1e-07,3e-08,1,0.2,0.7454545454545454,8.563983e-06
0,1e-07,3e-08,1,0.2,0.7545454545454545,8.815769e-06
0,1e-07,3e-08,1,0.2,0.7636363636363636,9.08856e-06
0,1e-07,3e-08,1,0.2,0.7727272727272727,9.376731e-06
0,1e-07,3e-08,1,0.2,0.7818181818181817,9.671989e-06
0,1e-07,3e-08,1,0.2,0.7909090909090909,1.000626e-05
0,1e-07,3e-08,1,0.2,0.7999999999999999,1.032195e-05
0,1e-07,3e-08,1,0.2,0.8090909090909091,1.066128e-05
0,1e-07,3e-08,1,0.2,0.8181818181818181,1.103857e-05
0,1e-07,3e-08,1,0.2,0.8272727272727273,1.143343e-05
0,1e-07,3e-08,1,0.2,0.8363636363636363,1.185192e-05
0,1e-07,3e-08,1,0.2,0.8454545454545455,1.232432e-05
0,1e-07,3e-08,1,0.2,0.8545454545454545,1.275405e-05
0,1e-07,3e-08,1,0.2,0.8636363636363636,1.328659e-05
0,1e-07,3e-08,1,0.2,0.8727272727272727,1.383705e-05
0,1e-07,3e-08,1,0.2,0.8818181818181817,1.444933e-05
0,1e-07,3e-08,1,0.2,0.8909090909090909,1.515406e-05
0,1e-07,3e-08,1,0.2,0.9,1.592143e-05
0,1e-07,3e-08,1,0.30000000000000004,0.0,-7.753209e-07
0,1e-07,3e-08,1,0.30000000000000004,0.00909090909090909,-2.699667e-07
0,1e-07,3e-08,1,0.30000000000000004,0.01818181818181818,1.177811e-07
0,1e-07,3e-08,1,0.30000000000000004,0.02727272727272727,4.15623e-07
0,1e-07,3e-08,1,0.30000000000000004,0.03636363636363636,6.443097e-07
0,1e-07,3e-08,1,0.30000000000000004,0.045454545454545456,8.281374e-07
0,1e-07,3e-08,1,0.30000000000000004,0.05454545454545454,9.708942e-07
0,1e-07,3e-08,1,0.30000000000000004,0.06363636363636363,1.089445e-06
0,1e-07,3e-08,1,0.30000000000000004,0.07272727272727272,1.18798e-06
0,1e-07,3e-08,1,0.30000000000000004,0.08181818181818182,1.274786e-06
0,1e-07,3e-08,1,0.30000000000000004,0.09090909090909091,1.351312e-06
