w,l,nf,flavor,vg,mean_rel_error,vth_error
1.6e-06,5e-07,1,9,0.9,1.9998262539278862,0.37288884626528895
1e-07,9e-08,1,7,0.9,1.9998257045959253,0.1472769448895989
4e-07,2e-07,1,9,0.9,1.9998246249728706,0.3244353749136386
1.6e-06,5e-07,2,6,0.9,1.9998218205337195,0.5484582348105574
4e-07,5e-07,4,5,0.0,1.9998203175770297,0.0415770139239342
1e-07,9e-08,1,9,0.9,1.9998188481024706,0.24871008624745353
1.6e-06,5e-07,1,1,0.0,1.9998187957170157,0.025576919410359666
1.6e-06,1e-06,4,7,0.9,1.999817233017053,0.47194522252279225
2e-07,5e-07,8,2,0.0,1.9998124917659819,0.046393251874475294
4e-07,5e-07,8,7,0.9,1.9998121438807441,0.44900420470421415
8e-07,1e-06,2,2,0.0,1.9998101957717083,0.022154492365331735
1e-07,1e-06,8,4,0.0,1.999807041171329,-0.03532236639048081
2.65e-06,1e-06,2,8,0.9,1.999806986486418,0.43664397673527805
1e-07,5e-07,4,4,0.0,1.999802353480846,-0.1712367514488261
1.6e-06,5e-07,2,7,0.9,1.9998011336710377,0.48230886877039186
2e-07,5e-07,8,1,0.0,1.9997970921828376,0.012221946111537929
3e-06,5e-07,1,7,0.9,1.9997963403592578,0.4722539687683976
4e-07,1e-06,4,5,0.0,1.9997958541033671,0.03186710098522638
2.65e-06,1e-06,2,9,0.9,1.999795416915978,0.4102072874341202
1.6e-06,5e-07,1,2,0.0,1.9997938927993595,0.018854504046111775
8e-07,2e-07,1,6,0.9,1.9997933228524674,0.37206745339658687
8e-07,1e-06,8,8,0.9,1.9997921035705086,0.46495426394165706
8e-07,5e-07,2,5,0.0,1.99979175272302,0.05263322018200145
1.6e-06,1e-06,1,1,0.0,1.9997915600737088,0.035864385379294594
8e-07,5e-07,4,7,0.9,1.9997914713060403,0.47065949282819874
8e-07,5e-07,2,1,0.0,1.999787169502484,0.35107303749935403
1e-07,9e-08,1,8,0.9,1.9997851870270598,0.2475308376472701
1e-07,5e-07,8,1,0.0,1.9997843515649039,0.0028857215466423503
1.6e-06,2e-07,1,2,0.0,1.999780848218629,0.020644354017495314
1.6e-06,1e-06,4,8,0.9,1.9997778067455028,0.4850491640056834
4e-07,1e-06,4,4,0.0,1.9997758889160238,0.020082190824072477
4e-07,5e-07,8,8,0.9,1.999771094123934,0.4473356750678713
2.65e-06,1e-06,4,6,0.9,1.9997629051136367,0.5076699512656218
8e-07,2e-07,1,7,0.9,1.9997628165442731,0.36329300258967817
2e-07,5e-07,4,4,0.0,1.9997583024555219,-0.07088246284271249
1e-07,2e-07,1,1,0.0,1.999757786514154,0.327596592144879
8e-07,1e-06,8,9,0.9,1.9997568005549553,0.4703135418472938
8e-07,5e-07,4,8,0.9,1.9997566104240476,0.47142174947304416
1.6e-06,1e-06,1,2,0.0,1.9997554536383286,0.022831120016073125
2e-07,1e-06,8,4,0.0,1.9997527724790163,0.00598877488210825
8e-07,1e-06,2,4,0.0,1.9997521640549916,0.009880799387600447
