w,l,nf,flavor,vd,mean_rel_error,vth_error,vth,ion,ioff,peak_gm
4e-07,9e-08,4,1,0.0,1.9999992537949716,-0.07084918183886257,0.58220230707771,2.324088000000001e-07,1.0693320000000005e-07,6.891036666666672e-07
1e-07,3e-08,8,5,0.0,1.9999992410915237,-0.1346885063782311,0.6,1.299652e-07,1.1040750000000004e-07,
1e-07,4e-08,8,5,0.0,1.9999992410915237,-0.1346885063782311,0.6,1.299652e-07,1.1040750000000004e-07,
8e-07,6e-08,2,1,0.0,1.9999992349806113,-0.05983126972586128,0.5734984064846383,2.7801320000000005e-07,1.083512e-07,7.820580000000001e-07
4e-07,4e-08,2,2,0.0,1.9999992173485626,-0.09999999999999998,0.6,1.4054999999999997e-07,1.1028320000000009e-07,
4e-07,3e-08,2,2,0.0,1.9999992173485626,-0.09999999999999998,0.6,1.4054999999999997e-07,1.1028320000000009e-07,
1e-07,4e-08,8,2,0.0,1.99999921560509,-0.1346885063782311,0.6,1.5718339999999998e-07,1.0928750000000004e-07,
1e-07,3e-08,8,2,0.0,1.99999921560509,-0.1346885063782311,0.6,1.5718339999999998e-07,1.0928750000000004e-07,
4e-07,3e-08,2,5,0.0,1.9999992035743968,-0.09999999999999998,0.6,1.2837660000000004e-07,1.096972e-07,
4e-07,4e-08,2,5,0.0,1.9999992035743968,-0.09999999999999998,0.6,1.2837660000000004e-07,1.096972e-07,
1.6e-06,3e-08,1,1,0.0,1.9999991389442644,-0.08365075365954455,0.6,3.132199e-07,1.0806339999999997e-07,
1.6e-06,4e-08,1,1,0.0,1.9999991389442644,-0.08365075365954455,0.6,3.132199e-07,1.0806339999999997e-07,
8e-07,9e-08,2,1,0.0,1.999999108855269,-0.07171844100773073,0.5843768492825576,2.314989000000001e-07,1.0880150000000006e-07,7.120460000000004e-07
4e-07,4e-08,8,1,0.0,1.999998953470197,0.5043149010468375,0.0139992918545736,5.658212e-07,1.0653340000000001e-07,
4e-07,3e-08,8,1,0.0,1.999998953470197,0.5043149010468375,0.0139992918545736,5.658212e-07,1.0653340000000001e-07,
2e-07,6e-08,4,4,0.0,1.9999989242379472,-0.10590624878444166,0.5866850991409585,1.478673000000001e-07,1.124299000000001e-07,3.878173333333338e-07
8e-07,3e-08,1,2,0.0,1.9999989101609366,-0.1059361773428174,0.6,1.4715499999999997e-07,1.1111510000000004e-07,
8e-07,4e-08,1,2,0.0,1.9999989101609366,-0.1059361773428174,0.6,1.4715499999999997e-07,1.1111510000000004e-07,
