Bit#	SIN	A0
325	0	1  <-- MISMATCH
326	0	1  <-- MISMATCH
327	0	1  <-- MISMATCH
328	0	1  <-- MISMATCH
329	0	1  <-- MISMATCH
330	0	1  <-- MISMATCH
331	0	1  <-- MISMATCH
332	0	1  <-- MISMATCH
333	0	1  <-- MISMATCH
334	0	1  <-- MISMATCH
335	0	1  <-- MISMATCH
336	0	1  <-- MISMATCH
337	0	1  <-- MISMATCH
338	0	1  <-- MISMATCH
339	0	1  <-- MISMATCH
340	0	1  <-- MISMATCH
341	0	1  <-- MISMATCH
342	0	1  <-- MISMATCH
343	0	1  <-- MISMATCH
=== Scan shift results ===
Total bits:     344
Elapsed:        25442 us
Per bit:        73.96 us
Effective rate: 13520.95 bits/s
Mismatches:     342
Test Failed
SEL_DONE
